"name","mz","ionmode"
"FA 13:2;O",227.16417,"pos"
"FA 13:3",209.15361,"pos"
"FA 13:3;O",225.14852,"pos"
"FA 13:4",207.13796,"pos"
"FA 13:4;O",223.13287,"pos"
"FA 14:0",229.21621,"pos"
"FA 14:0;O",245.21112,"pos"
"FA 14:1",227.20056,"pos"
"FA 14:1;O",243.19547,"pos"
"FA 14:2",225.18491,"pos"
"FA 14:2;O",241.17982,"pos"
"FA 14:3",223.16926,"pos"
"FA 14:3;O",239.16417,"pos"
"FA 14:4",221.15361,"pos"
"FA 14:4;O",237.14852,"pos"
"FA 15:0",243.23186,"pos"
"FA 15:0;O",259.22677,"pos"
"FA 15:1",241.21621,"pos"
"FA 15:1;O",257.21112,"pos"
"FA 15:2",239.20056,"pos"
"FA 15:2;O",255.19547,"pos"
"FA 15:3",237.18491,"pos"
"FA 15:3;O",253.17982,"pos"
"FA 15:4",235.16926,"pos"
"FA 15:4;O",251.16417,"pos"
"FA 16:0",257.24751,"pos"
"FA 16:0;O",273.24242,"pos"
"FA 16:1",255.23186,"pos"
"FA 16:1;O",271.22677,"pos"
"FA 16:2",253.21621,"pos"
"FA 16:2;O",269.21112,"pos"
"FA 16:3",251.20056,"pos"
"FA 16:3;O",267.19547,"pos"
"FA 16:4",249.18491,"pos"
"FA 16:4;O",265.17982,"pos"
"FA 17:0",271.26316,"pos"
"FA 17:0;O",287.25807,"pos"
"FA 17:1",269.24751,"pos"
"FA 17:1;O",285.24242,"pos"
"FA 17:2",267.23186,"pos"
"FA 17:2;O",283.22677,"pos"
"FA 17:3",265.21621,"pos"
"FA 17:3;O",281.21112,"pos"
"FA 17:4",263.20056,"pos"
"FA 17:4;O",279.19547,"pos"
"FA 17:5",261.18491,"pos"
"FA 17:5;O",277.17982,"pos"
"FA 18:0",285.27881,"pos"
"FA 18:0;O",301.27372,"pos"
"FA 18:1",283.26316,"pos"
"FA 18:1;O",299.25807,"pos"
"FA 18:2",281.24751,"pos"
"FA 18:2;O",297.24242,"pos"
"FA 18:3",279.23186,"pos"
"FA 18:3;O",295.22677,"pos"
"FA 18:4",277.21621,"pos"
"FA 18:4;O",293.21112,"pos"
"FA 18:5",275.20056,"pos"
"FA 18:5;O",291.19547,"pos"
"FA 19:0",299.29446,"pos"
"FA 19:0;O",315.28937,"pos"
"FA 19:1",297.27881,"pos"
"FA 19:1;O",313.27372,"pos"
"FA 19:2",295.26316,"pos"
"FA 19:2;O",311.25807,"pos"
"FA 19:3",293.24751,"pos"
"FA 19:3;O",309.24242,"pos"
"FA 19:4",291.23186,"pos"
"FA 19:4;O",307.22677,"pos"
"FA 19:5",289.21621,"pos"
"FA 19:5;O",305.21112,"pos"
"FA 2:0",61.02841,"pos"
"FA 2:0;O",77.02332,"pos"
"FA 20:0",313.31011,"pos"
"FA 20:0;O",329.30502,"pos"
"FA 20:1",311.29446,"pos"
"FA 20:1;O",327.28937,"pos"
"FA 20:2",309.27881,"pos"
"FA 20:2;O",325.27372,"pos"
"FA 20:3",307.26316,"pos"
"FA 20:3;O",323.25807,"pos"
"FA 20:4",305.24751,"pos"
